!!	!	0.21599586
!!!	!!	0.18829817
!!!!	!!!	0.12917261
!!!!!	!!!!	0.080070645
????	???	0.08535551
decreased	increased	0.2902185
!?	?!	0.110882536
!!!!!!	!!!!!	0.015968591
Apr.	Aug.	-0.013607667
Mar.	Jan.	0.013634422
:2	:1	0.064273685
?????	????	0.010835125
ninth	sixth	0.24408215
soo	so	0.026499938
:4	:1	0.035468522
2,500	2,000	0.2518532
=D	=)	0.026320776
points3	point2	-0.088334985
definately	definitely	0.13775805
decreases	increases	0.24549492
luv	love	-0.024413148
goin	going	0.0073372913
thier	their	0.13538694
▀	█	-0.18390785
60,000	30,000	0.21832487
awsome	awesome	-0.04082581
?!?	?!	0.028312111
Jul.	Aug.	-0.09348165
;D	:D	-0.013092467
DONT	NOT	-0.08166463
??????	?????	-0.042591717
292	244	0.05948963
freakin	freaking	0.035492163
296	238	0.054185834
seperate	separate	0.12719591
294	238	0.05878127
11:16	11:12	0.00057334744
onsite	on-site	0.1903264
11:47	10:42	-0.00930795
7,000	4,000	0.22622074
400,000	200,000	0.20038208
realy	really	-0.049990237
80,000	20,000	0.18706948
doin	doing	-0.01953678
T-1	T1	-0.092273146
12:47	12:41	-0.021557154
gettin	getting	-0.0076231607
11am	10am	0.07300773
ect	etc	0.025542764
points4	point2	-0.12687902
35,000	30,000	0.18483698
sooooo	soooo	-0.004601073
75.00	50.00	0.012747498
16.99	14.99	-0.047093567
15.99	14.99	-0.048844375
thanx	thank	-0.049013812
11.99	9.99	-0.02902754
34.99	29.99	-0.0099684
60.00	50.00	-0.0040499433
recieved	received	0.07531594
17.99	19.99	-0.03791587
3,500	3,000	0.18471901
on-going	ongoing	0.26307097
?!?!	!?	-0.053681195
70,000	20,000	0.17166312
loosing	losing	0.10894827
recieve	receive	0.082424566
talkin	talking	-0.051799424
yup	yep	0.027040513
75,000	50,000	0.15537679
10.99	9.99	-0.03987467
4-2	2-1	0.026803313
600,000	500,000	0.15775299
14.00	12.00	-0.010639251
co-operation	cooperation	0.1812373
13.99	14.99	-0.055741094
11,000	6,000	0.15874909
untill	until	0.009561226
coworkers	co-workers	0.1611588
9,000	6,000	0.16290453
nothin	nothing	-0.051444393
18,000	30,000	0.15697294
:o)	:-)	0.0068991445
1,800	2,000	0.15491372
Omg	Oh	-0.15764989
1,100	1,200	0.14729162
hahah	haha	-0.06873107
7.95	9.95	-0.036425885
1,300	1,200	0.15393442
WW2	WWII	0.032481287
13,000	12,000	0.15650368
accomodation	accommodation	0.025390096
9:04	9:06	-0.055761922
6.50	7.50	-0.020756762
belive	believe	-0.063023455
comin	coming	-0.0702925
truely	truly	0.025855958
Thanx	thank	-0.14750239
occured	occurred	0.08649839
i.e	i.e.	0.2036302
45,000	30,000	0.12679821
2:49	2:48	-0.06911628
becuase	because	0.0117537305
16,000	20,000	0.15243706
Hehe	Haha	-0.13391006
55.00	45.00	-0.043807894
wierd	weird	-0.036399476
:-D	:-)	-0.036278415
kno	know	-0.09226506
21.99	19.99	-0.054942355
.03	.02	-0.016433196
barbeque	barbecue	0.08455331
8.95	9.95	-0.043005675
points5	points3	-0.14711489
behaviours	behaviors	0.15458065
90,000	30,000	0.1180668
8.50	7.50	-0.02452506
800,000	500,000	0.119608454
120,000	60,000	0.11786019
implicitly	explicitly	0.17736791
life-long	lifelong	0.16163413
ahh	oh	-0.060201183
dependant	dependent	0.122567154
22.99	19.99	-0.074063055
Cuz	But	-0.10539417
beleive	believe	-0.035264708
7,500	5,000	0.11458646
17,000	30,000	0.14131579
44.99	39.99	-0.046630308
4,500	4,000	0.1309578
18.99	19.99	-0.061356034
34.95	39.95	-0.057480305
longstanding	long-standing	0.20929058
700,000	300,000	0.11370922
begining	beginning	-0.0016695632
points6	points3	-0.1475471
bla	blah	-0.13264742
16.95	14.95	-0.05204294
teeny	tiny	0.0341656
rofl	lol	-0.09910356
suprised	surprised	-0.055981666
curricula	curriculum	0.15218227
accomodate	accommodate	0.07747882
'VE	HAVE	-0.13182914
350,000	300,000	0.10566565
Hmmmm	Hmmm	-0.10925492
7h	8h	-0.083675325
1827	1845	-0.030126158
dreamt	dreamed	0.040580075
15h	12h	-0.111441046
15.95	14.95	-0.06545492
dnt	dont	-0.11612701
16h	12h	-0.11044477
1,700	2,000	0.12526746
17.95	14.95	-0.06757687
YET	BUT	-0.06448032
realising	realizing	0.12515035
750,000	500,000	0.08718768
abit	bit	-0.042451855
23h	12h	-0.11491959
playin	playing	-0.09363444
happend	happened	-0.10965938
tumour	tumor	0.060670294
protestors	protesters	0.114959024
18h	12h	-0.10836155
17h	12h	-0.11575322
?!!	?!	-0.13215087
19h	12h	-0.11755342
ohh	oh	-0.11485706
2,400	2,000	0.09997408
22,000	30,000	0.11613567
Micheal	Michael	-0.011230124
comming	coming	-0.081114106
Montréal	Montreal	0.04798361
22h	12h	-0.12122298
125,000	150,000	0.07029773
addicting	addictive	0.0100892335
payed	paid	-0.0260934
12pm	5pm	-0.008079041
11.95	9.95	-0.06810879
lmfao	lmao	-0.14799048
perscription	prescription	-0.035278283
thinkin	thinking	-0.11050619
soooooo	sooooo	-0.09202059
3-7	2-5	0.01920848
9.50	7.50	-0.05357693
08:44	08:42	-0.13907307
feelin	feeling	-0.10059133
earphones	headphones	0.012251073
10.95	9.95	-0.07628208
points7	points6	-0.16695546
lolz	lol	-0.11837514
somthing	something	-0.1049696
65,000	20,000	0.08893499
7m	5m	-0.052302737
moulding	molding	0.039697047
08:18	08:13	-0.13774338
R.I.P	RIP	-0.16772398
trillions	billions	0.063086756
01:09	01:03	-0.1461675
27.99	29.99	-0.07938508
20.99	14.99	-0.12889504
2,200	2,000	0.09542051
hah	haha	-0.092501484
nonexistent	non-existent	0.13631961
+9	+5	-0.054569695
analysing	analyzing	0.12091466
07:58	07:52	-0.14550719
13.95	14.95	-0.07260635
reelection	re-election	0.08475683
realisation	realization	0.11088814
coworker	co-worker	0.06950296
07:57	07:52	-0.13791482
07:54	07:52	-0.14137998
recomend	recommend	-0.11187241
ROFL	LOL	-0.18146259
54.99	59.99	-0.073862836
26.99	29.99	-0.09735028
07:20	08:10	-0.1352306
07:48	07:52	-0.14396885
24,000	30,000	0.090340026
Ohh	Oh	-0.13984394
fund-raising	fundraising	0.14258578
07:43	07:52	-0.1416172
07:38	07:52	-0.14453743
07:31	07:52	-0.14965068
re-use	reuse	0.080225684
accidently	accidentally	-0.0023705151
07:26	07:52	-0.1465374
07:19	07:52	-0.15146159
definetly	definitely	-0.09473273
07:23	07:52	-0.15153226
2006-07	2007-08	0.03443014
03:18	03:19	-0.15529245
yoghurt	yogurt	-0.018786302
07:18	07:52	-0.14808606
07:22	07:52	-0.15076114
.07	.12	-0.052828874
23.99	29.99	-0.09778144
part2	part1	-0.093006246
.34	.14	0.011156261
AMReport	PMReport	-0.11312362
07:13	08:13	-0.14530334
civilisation	civilization	0.048084825
Russel	Russell	-0.0051433025
usefull	useful	-0.07854925
03:53	03:39	-0.16380847
03:56	03:39	-0.16273382
goverment	government	-0.022071695
similiar	similar	0.0013333256
judgements	judgments	0.03873542
dissapointed	disappointed	-0.100954674
Ummm	Hmmm	-0.14983377
somethin	something	-0.11377605
05:19	05:23	-0.14225876
06:47	06:56	-0.15578264
06:52	07:52	-0.15638307
gud	good	-0.14993389
55,000	30,000	0.06711566
06:32	07:52	-0.15909147
gunna	gonna	-0.13696487
06:22	07:52	-0.15936169
06:27	08:07	-0.16213724
wks	weeks	-0.09882581
06:26	06:31	-0.15956196
04:37	04:34	-0.1677563
OMFG	OMG	-0.19622827
longer-term	long-term	0.13572967
;p	;)	-0.11093151
naïve	naive	0.0843247
Hah	Oh	-0.18201664
2,300	2,000	0.0806677
thnx	thanx	-0.1510782
tshirt	t-shirt	-0.03615332
hmmmm	hmmm	-0.08232137
mmmm	mmm	-0.13608217
7-1	5-1	-0.029533358
useable	usable	0.05240469
25.99	29.99	-0.11501885
Woah	Oh	-0.18451385
completly	completely	-0.06676219
suprise	surprise	-0.08513364
e.g	e.g.	0.10062446
;P	;)	-0.13894847
smokey	smoky	-0.030512845
sceptical	skeptical	0.0635323
0.29	0.24	-0.050989904
Ph.D	Ph.D.	0.006298891
0h	9h	-0.14763774
2005-06	2007-08	0.012342944
0.31	0.24	-0.051838223
160,000	200,000	0.0551997
400.00	300.00	-0.081182525
140,000	200,000	0.043076973
6,500	4,000	0.075449
Jonathon	Jonathan	-0.035918187
good-bye	goodbye	-0.010920856
23.00	18.00	-0.09095751
130,000	200,000	0.05333631
optimised	optimized	0.04556634
half-way	halfway	0.049386043
p.m	p.m.	-0.030904578
wud	would	-0.12420323
tbh	too	-0.10142209
28,000	30,000	0.06005698
44.95	39.95	-0.09643528
21.95	19.95	-0.102232926
.37	.16	-0.0038152372
??!!	?!	-0.17744535
___________	__________	-0.047155168
workin	working	-0.11750585
alittle	little	-0.08105342
hi-tech	high-tech	0.05466839
bein	being	-0.09480424
450,000	400,000	0.047170546
23,000	30,000	0.06674803
5-minute	10-minute	-0.009316627
.39	.16	-0.0048077204
knowledgable	knowledgeable	-0.004886479
orientated	oriented	0.06784546
accross	across	-0.01276064
KNEW	KNOW	-0.11024477
5,500	4,000	0.073128454
;]	;)	-0.14123291
hiphop	hip-hop	-0.04677435
3,200	3,000	0.0541888
21,000	30,000	0.06354719
amature	amateur	-0.06559238
reccomend	recommend	-0.10268051
014	004	-0.1510282
11m	8m	-0.077806234
26,000	30,000	0.060681116
wether	whether	-0.051509123
32,000	30,000	0.05027927
diffrent	different	-0.13754253
119.99	99.99	-0.08374262
;o)	:-)	-0.07894092
Rte	Route	-0.11778857
1,250	1,500	0.030310564
independant	independent	0.010256654
dinning	dining	-0.047218714
27,000	30,000	0.047622103
